"bottle","date","time","days","xCH4"
1,"12-06-2014","14:00",7.021,0.710473093302882
2,"12-06-2014","14:00",7.021,0.706700876267323
3,"12-06-2014","14:00",7.021,0.692267494360728
4,"12-06-2014","14:00",7.021,0.702183256767062
5,"12-06-2014","14:00",7.021,0.682982136826245
6,"12-06-2014","14:00",7.021,0.679686846750371
7,"12-06-2014","14:00",7.021,0.564685459645082
8,"12-06-2014","14:00",7.021,0.568220331475516
9,"12-06-2014","14:00",7.021,0.574677005658287
10,"12-06-2014","14:00",7.021,0.711511863444847
11,"12-06-2014","14:00",7.021,0.706872108570499
12,"12-06-2014","14:00",7.021,0.70053687285793
13,"12-06-2014","14:00",6.917,0.727057462632144
14,"12-06-2014","14:00",6.917,0.7351087301899
15,"12-06-2014","14:00",6.917,0.727294020249786
16,"12-06-2014","14:00",6.917,0.529362369066815
17,"12-06-2014","14:00",6.917,0.469562015115845
18,"12-06-2014","14:00",6.917,0.444867729194955
19,"12-06-2014","14:00",6.917,0.352567800994724
20,"12-06-2014","14:00",6.917,0.0237933671063054
21,"12-06-2014","14:00",6.917,0.290098765186213
22,"12-06-2014","14:00",6.917,0.700981953069952
23,"12-06-2014","14:00",6.917,0.704091908657428
24,"12-06-2014","14:00",6.917,0.722410205339933
1,"19-06-2014","14:00",14.02,0.702493670931763
2,"19-06-2014","14:00",14.02,0.6827098829277
3,"19-06-2014","14:00",14.02,0.675915060282479
4,"19-06-2014","14:00",14.02,0.674059104802466
5,"19-06-2014","14:00",14.02,0.660123010596345
6,"19-06-2014","14:00",14.02,0.662234673149613
7,"19-06-2014","14:00",14.02,0.66769591452393
8,"19-06-2014","14:00",14.02,0.655845193236195
9,"19-06-2014","14:00",14.02,0.680054485965974
10,"19-06-2014","14:00",14.02,0.699446884192201
11,"19-06-2014","14:00",14.02,0.694537854849358
12,"19-06-2014","14:00",14.02,0.693833494197011
13,"19-06-2014","14:00",13.92,0.745423869316765
14,"19-06-2014","14:00",13.92,0.743509917767658
15,"19-06-2014","14:00",13.92,0.737196170144317
16,"19-06-2014","14:00",13.92,0.45388425623191
17,"19-06-2014","14:00",13.92,0.475732202239079
18,"19-06-2014","14:00",13.92,0.483820364144638
19,"19-06-2014","14:00",13.92,0.360823559289816
20,"19-06-2014","14:00",13.92,0.409403111672695
21,"19-06-2014","14:00",13.92,0.461830653874566
22,"19-06-2014","14:00",13.92,0.747831795989974
23,"19-06-2014","14:00",13.92,0.769837011460846
24,"19-06-2014","14:00",13.92,0.729640480070346
1,"26-06-2014","11:00",20.9,0.665991923209349
2,"26-06-2014","11:00",20.9,0.657750200429899
3,"26-06-2014","11:00",20.9,0.650581051961404
4,"26-06-2014","11:00",20.9,0.632786869850839
5,"26-06-2014","11:00",20.9,0.628104914281455
6,"26-06-2014","11:00",20.9,0.62487922416877
7,"26-06-2014","11:00",20.9,0.614455221929982
8,"26-06-2014","11:00",20.9,0.610430074873827
9,"26-06-2014","11:00",20.9,0.615187195961731
10,"26-06-2014","11:00",20.9,0.664399850905123
11,"26-06-2014","11:00",20.9,0.663547270512139
12,"26-06-2014","11:00",20.9,0.666399642079253
13,"26-06-2014","11:00",20.79,0.727979021933774
14,"26-06-2014","11:00",20.79,0.708241095667305
15,"26-06-2014","11:00",20.79,0.704633465503509
16,"26-06-2014","11:00",20.79,0.652704443914608
17,"26-06-2014","11:00",20.79,0.676402628009214
18,"26-06-2014","11:00",20.79,0.690817546163757
19,"26-06-2014","11:00",20.79,0.628353815960313
20,"26-06-2014","11:00",20.79,0.67619790613114
21,"26-06-2014","11:00",20.79,0.703378092940779
22,"26-06-2014","11:00",20.79,0.697782454214476
23,"26-06-2014","11:00",20.79,0.715470271951903
24,"26-06-2014","11:00",20.79,0.671510638429537
1,"01-07-2014","14:00",26.02,0.563846343661016
2,"01-07-2014","14:00",26.02,0.542308093145705
3,"01-07-2014","14:00",26.02,0.563510882830222
4,"01-07-2014","14:00",26.02,0.781023749884639
5,"01-07-2014","14:00",26.02,0.81931497105926
6,"01-07-2014","14:00",26.02,0.802095471181126
7,"01-07-2014","14:00",26.02,0.747851685788435
8,"01-07-2014","14:00",26.02,0.749817331553846
9,"01-07-2014","14:00",26.02,0.765777827277843
10,"01-07-2014","14:00",26.02,0.446330743845061
11,"01-07-2014","14:00",26.02,0.468777479368721
12,"01-07-2014","14:00",26.02,0.460633883505022
13,"01-07-2014","14:00",25.92,0.675835385960993
14,"01-07-2014","14:00",25.92,0.673404080008335
15,"01-07-2014","14:00",25.92,0.680281660697672
16,"01-07-2014","14:00",25.92,0.68870813026372
17,"01-07-2014","14:00",25.92,0.669285567760654
18,"01-07-2014","14:00",25.92,0.663143071232413
19,"01-07-2014","14:00",25.92,0.459692678174818
20,"01-07-2014","14:00",25.92,0.470049806144823
21,"01-07-2014","14:00",25.92,0.433992159138328
22,"01-07-2014","14:00",25.92,0.298755551926319
23,"01-07-2014","14:00",25.92,0.303360903359701
24,"01-07-2014","14:00",25.92,0.293039389656926
1,"03-07-2014","10:00",27.85,0.678946643535146
2,"03-07-2014","10:00",27.85,0.659533631187341
3,"03-07-2014","10:00",27.85,0.659024672139638
4,"03-07-2014","10:00",27.85,0.628706968905552
5,"03-07-2014","10:00",27.85,0.632569314005474
6,"03-07-2014","10:00",27.85,0.621923709099161
7,"03-07-2014","10:00",27.85,0.623706463268946
8,"03-07-2014","10:00",27.85,0.618744037858207
9,"03-07-2014","10:00",27.85,0.619977163572282
10,"03-07-2014","10:00",27.85,0.654550205670826
11,"03-07-2014","10:00",27.85,0.65905595476993
12,"03-07-2014","10:00",27.85,0.651641188926873
13,"03-07-2014","10:00",27.75,0.690121239375296
14,"03-07-2014","10:00",27.75,0.674403762707805
15,"03-07-2014","10:00",27.75,0.666495809259779
16,"03-07-2014","10:00",27.75,0.719626753735681
17,"03-07-2014","10:00",27.75,0.731972014611194
18,"03-07-2014","10:00",27.75,0.709075873887154
19,"03-07-2014","10:00",27.75,0.702009004957277
20,"03-07-2014","10:00",27.75,0.737751705568274
21,"03-07-2014","10:00",27.75,0.737735532503897
22,"03-07-2014","10:00",27.75,0.677982666120447
23,"03-07-2014","10:00",27.75,0.678524366365493
24,"03-07-2014","10:00",27.75,0.660008169217375
1,"10-07-2014","9:00",34.81,0.695142941490305
2,"10-07-2014","9:00",34.81,0.687548839639096
3,"10-07-2014","9:00",34.81,0.678477948211266
4,"10-07-2014","9:00",34.81,0.664290296730456
5,"10-07-2014","9:00",34.81,0.663185527507652
6,"10-07-2014","9:00",34.81,0.660013121494684
7,"10-07-2014","9:00",34.81,0.659041642427174
8,"10-07-2014","9:00",34.81,0.657140009439594
9,"10-07-2014","9:00",34.81,0.662467067963237
10,"10-07-2014","9:00",34.81,0.68179574829646
11,"10-07-2014","9:00",34.81,0.685022608245261
12,"10-07-2014","9:00",34.81,0.68190520666
13,"10-07-2014","9:00",34.71,0.700398902692607
14,"10-07-2014","9:00",34.71,0.692371062666652
15,"10-07-2014","9:00",34.71,0.682901222274075
16,"10-07-2014","9:00",34.71,0.790934630667285
17,"10-07-2014","9:00",34.71,0.789632998359858
18,"10-07-2014","9:00",34.71,0.769898948221659
19,"10-07-2014","9:00",34.71,0.789653016437823
20,"10-07-2014","9:00",34.71,0.787403714609795
21,"10-07-2014","9:00",34.71,0.776626772093611
22,"10-07-2014","9:00",34.71,0.689961016264579
23,"10-07-2014","9:00",34.71,0.6832817595247
24,"10-07-2014","9:00",34.71,0.657793948880118
1,"24-07-2014","10:00",48.85,0.669305322579233
2,"24-07-2014","10:00",48.85,0.664786513617871
3,"24-07-2014","10:00",48.85,0.659039482114607
4,"24-07-2014","10:00",48.85,0.639832601159887
5,"24-07-2014","10:00",48.85,0.63535738782644
6,"24-07-2014","10:00",48.85,0.638047624836208
7,"24-07-2014","10:00",48.85,0.649038576563612
8,"24-07-2014","10:00",48.85,0.648235662744572
9,"24-07-2014","10:00",48.85,0.651703417912986
10,"24-07-2014","10:00",48.85,0.659984223259547
11,"24-07-2014","10:00",48.85,0.659288938884602
12,"24-07-2014","10:00",48.85,0.659496411745978
13,"24-07-2014","10:00",48.75,0.683005572109677
14,"24-07-2014","10:00",48.75,0.674013681684492
15,"24-07-2014","10:00",48.75,0.652485279751555
16,"24-07-2014","10:00",48.75,0.753552544554308
17,"24-07-2014","10:00",48.75,0.758998555767419
18,"24-07-2014","10:00",48.75,0.781875589293311
19,"24-07-2014","10:00",48.75,0.790372335053591
20,"24-07-2014","10:00",48.75,0.795366476715556
21,"24-07-2014","10:00",48.75,0.782226742809345
22,"24-07-2014","10:00",48.75,0.672074245791938
23,"24-07-2014","10:00",48.75,0.673970936756418
24,"24-07-2014","10:00",48.75,0.644309825303984
1,"31-07-2014","13:00",55.98,0.666408185323384
2,"31-07-2014","13:00",55.98,0.648866848507285
3,"31-07-2014","13:00",55.98,0.645974235697176
4,"31-07-2014","13:00",55.98,0.626226829044887
5,"31-07-2014","13:00",55.98,0.620190303183319
6,"31-07-2014","13:00",55.98,0.617702786629801
7,"31-07-2014","13:00",55.98,0.634986810282648
8,"31-07-2014","13:00",55.98,0.637626279001168
9,"31-07-2014","13:00",55.98,0.634959050340157
10,"31-07-2014","13:00",55.98,0.64570692469918
11,"31-07-2014","13:00",55.98,0.644314703640062
12,"31-07-2014","13:00",55.98,0.637148685284259
13,"31-07-2014","13:00",55.88,0.68077863852359
14,"31-07-2014","13:00",55.88,0.658393015552192
15,"31-07-2014","13:00",55.88,0.639935463257913
16,"31-07-2014","13:00",55.88,0.686200979112759
17,"31-07-2014","13:00",55.88,0.67547228275519
18,"31-07-2014","13:00",55.88,0.649065613541182
19,"31-07-2014","13:00",55.88,0.710123712664691
20,"31-07-2014","13:00",55.88,0.653020894276403
21,"31-07-2014","13:00",55.88,0.655540271994811
22,"31-07-2014","13:00",55.88,0.659640973166298
23,"31-07-2014","13:00",55.88,0.656090058544052
24,"31-07-2014","13:00",55.88,0.656090058544052
1,"14-08-2014","13:00",69.98,0.66946530819462
2,"14-08-2014","13:00",69.98,0.66946530819462
3,"14-08-2014","13:00",69.98,0.657179236141734
4,"14-08-2014","13:00",69.98,0.63171715991311
5,"14-08-2014","13:00",69.98,0.63410003144722
6,"14-08-2014","13:00",69.98,0.634696695452015
7,"14-08-2014","13:00",69.98,0.640890486254156
8,"14-08-2014","13:00",69.98,0.642519830611389
9,"14-08-2014","13:00",69.98,0.639729199024451
10,"14-08-2014","13:00",69.98,0.652873279756411
11,"14-08-2014","13:00",69.98,0.653470597477788
12,"14-08-2014","13:00",69.98,0.645157681977309
13,"14-08-2014","13:00",69.88,0.681516789636855
14,"14-08-2014","13:00",69.88,0.676360374661436
15,"14-08-2014","13:00",69.88,0.657926872369062
16,"14-08-2014","13:00",69.88,0.680619069595457
17,"14-08-2014","13:00",69.88,0.673445684185379
18,"14-08-2014","13:00",69.88,0.656084694221959
19,"14-08-2014","13:00",69.88,0.713120913582348
20,"14-08-2014","13:00",69.88,0.652899401780336
21,"14-08-2014","13:00",69.88,0.667970101508254
22,"14-08-2014","13:00",69.88,0.667454039158662
23,"14-08-2014","13:00",69.88,0.648313961791338
24,"14-08-2014","13:00",69.88,0.632872845431297
1,"28-08-2014","10:00",83.85,0.667699944236857
2,"28-08-2014","10:00",83.85,0.656366250698899
3,"28-08-2014","10:00",83.85,0.656658992222223
4,"28-08-2014","10:00",83.85,0.632979928617631
5,"28-08-2014","10:00",83.85,0.631896357820387
6,"28-08-2014","10:00",83.85,0.633690751435525
7,"28-08-2014","10:00",83.85,0.632971550080102
8,"28-08-2014","10:00",83.85,0.631669816207047
9,"28-08-2014","10:00",83.85,0.627849169997775
10,"28-08-2014","10:00",83.85,0.649183818848112
11,"28-08-2014","10:00",83.85,0.652870385067818
12,"28-08-2014","10:00",83.85,0.646769395901366
13,"28-08-2014","10:00",83.75,0.665515328552447
14,"28-08-2014","10:00",83.75,0.656824623970355
15,"28-08-2014","10:00",83.75,0.640990615757582
16,"28-08-2014","10:00",83.75,0.625510612862789
17,"28-08-2014","10:00",83.75,0.625834824006498
18,"28-08-2014","10:00",83.75,0.606777084566904
19,"28-08-2014","10:00",83.75,0.682874638399551
20,"28-08-2014","10:00",83.75,0.595402642253568
21,"28-08-2014","10:00",83.75,0.622736624953185
22,"28-08-2014","10:00",83.75,0.657588459956531
23,"28-08-2014","10:00",83.75,0.644285800877657
24,"28-08-2014","10:00",83.75,0.639336636288961
1,"06-10-2014","10:45",122.9,0.696339731920023
2,"06-10-2014","10:45",122.9,0.695898677462336
3,"06-10-2014","10:45",122.9,0.681574758821182
4,"06-10-2014","10:45",122.9,0.668105017422896
5,"06-10-2014","10:45",122.9,0.666762586272491
6,"06-10-2014","10:45",122.9,0.673146719233675
7,"06-10-2014","10:45",122.9,0.671670604099596
8,"06-10-2014","10:45",122.9,0.674909625482499
9,"06-10-2014","10:45",122.9,0.672275770703254
10,"06-10-2014","10:45",122.9,0.69381790432612
11,"06-10-2014","10:45",122.9,0.68853931197639
12,"06-10-2014","10:45",122.9,0.686542827762451
13,"06-10-2014","10:45",122.8,0.672775156691687
14,"06-10-2014","10:45",122.8,0.655589392518238
15,"06-10-2014","10:45",122.8,0.64755581694471
16,"06-10-2014","10:45",122.8,0.640154007084049
17,"06-10-2014","10:45",122.8,0.637325377575727
18,"06-10-2014","10:45",122.8,0.635667954951048
19,"06-10-2014","10:45",122.8,0.671171712896194
20,"06-10-2014","10:45",122.8,0.624677999020723
21,"06-10-2014","10:45",122.8,0.646864740011663
22,"06-10-2014","10:45",122.8,0.660091225444812
23,"06-10-2014","10:45",122.8,0.656173551297691
24,"06-10-2014","10:45",122.8,0.6427330084844
1,"13-10-2014","13:00",130,0.652003237966417
2,"13-10-2014","13:00",130,0.632716993357528
3,"13-10-2014","13:00",130,0.628726896826317
4,"13-10-2014","13:00",130,0.593371391195437
5,"13-10-2014","13:00",130,0.585832711844359
6,"13-10-2014","13:00",130,0.591532374386204
7,"13-10-2014","13:00",130,0.601067324301246
8,"13-10-2014","13:00",130,0.598874783110888
9,"13-10-2014","13:00",130,0.596616016644732
10,"13-10-2014","13:00",130,0.62716349338394
11,"13-10-2014","13:00",130,0.626650431048414
12,"13-10-2014","13:00",130,0.621023464887418
13,"13-10-2014","13:00",129.9,0.63512976371182
14,"13-10-2014","13:00",129.9,0.620018846078095
15,"13-10-2014","13:00",129.9,0.591023552163415
16,"13-10-2014","13:00",129.9,0.571627164354624
17,"13-10-2014","13:00",129.9,0.571298948769187
18,"13-10-2014","13:00",129.9,0.565551312001972
19,"13-10-2014","13:00",129.9,0.605748406428983
20,"13-10-2014","13:00",129.9,0.564831382144885
21,"13-10-2014","13:00",129.9,0.568137617544625
22,"13-10-2014","13:00",129.9,0.617970287129652
23,"13-10-2014","13:00",129.9,0.612799481813971
24,"13-10-2014","13:00",129.9,0.592663757704818
13,"28-10-2014","9:00",144.7,0.653275942076579
14,"28-10-2014","9:00",144.7,0.634243051193576
15,"28-10-2014","9:00",144.7,0.605945287698623
22,"02-12-2014","9:45",179.7,0.647701346555142
23,"02-12-2014","9:45",179.7,0.636573711812976
24,"02-12-2014","9:45",179.7,0.627807168291647
1,"19-12-2014","10:30",196.9,0.684302445366639
2,"19-12-2014","10:30",196.9,0.679828004531595
3,"19-12-2014","10:30",196.9,0.671556240984397
4,"19-12-2014","10:30",196.9,0.656110013117084
5,"19-12-2014","10:30",196.9,0.648611598726699
6,"19-12-2014","10:30",196.9,0.648943157434462
7,"19-12-2014","10:30",196.9,0.654774508643589
8,"19-12-2014","10:30",196.9,0.657439038793637
9,"19-12-2014","10:30",196.9,0.653722400630219
10,"19-12-2014","10:30",196.9,0.666576188221484
11,"19-12-2014","10:30",196.9,0.670350177047073
12,"19-12-2014","10:30",196.9,0.669042087388435
16,"19-12-2014","10:30",196.8,0.611234268689617
17,"19-12-2014","10:30",196.8,0.612318212959972
18,"19-12-2014","10:30",196.8,0.608310106781851
19,"19-12-2014","10:30",196.8,0.620748326649795
20,"19-12-2014","10:30",196.8,0.609116609583667
21,"19-12-2014","10:30",196.8,0.608955168810763
1,"25-04-2015","20:40",324.3,0.6730276393082
2,"25-04-2015","20:40",324.3,0.669692720655441
3,"25-04-2015","20:40",324.3,0.667839599417041
4,"25-04-2015","20:40",324.3,0.650905091357242
5,"25-04-2015","20:40",324.3,0.656022948422248
6,"25-04-2015","20:40",324.3,0.664399350976799
7,"25-04-2015","20:40",324.3,0.649288372106349
8,"25-04-2015","20:40",324.3,0.65090480954748
9,"25-04-2015","20:40",324.3,0.663236642671613
10,"25-04-2015","20:40",324.3,0.662695229040632
11,"25-04-2015","20:40",324.3,0.660715554374882
12,"25-04-2015","20:40",324.3,0.660778849816111
16,"25-04-2015","20:40",324.2,0.620720649676049
17,"25-04-2015","20:40",324.2,0.624340357759918
18,"25-04-2015","20:40",324.2,0.628235007875932
19,"25-04-2015","20:40",324.2,0.602653067650985
20,"25-04-2015","20:40",324.2,0.615875708422687
21,"25-04-2015","20:40",324.2,0.61565511636289
