"bottle","exp","date.time","time","mass"
1,"TSR1","2016-04-26 13:00:00.00",0,488.89
2,"TSR1","2016-04-26 13:00:00.00",0,485.5
3,"TSR1","2016-04-26 13:00:00.00",0,474.96
4,"TSR1","2016-04-26 13:00:00.00",0,474
5,"TSR1","2016-04-26 13:00:00.00",0,475.77
6,"TSR1","2016-04-26 13:00:00.00",0,473.66
7,"TSR1","2016-04-26 13:00:00.00",0,469.94
8,"TSR1","2016-04-26 13:00:00.00",0,471.48
9,"TSR1","2016-04-26 13:00:00.00",0,469.46
10,"TSR1","2016-04-26 13:00:00.00",0,471.18
11,"TSR1","2016-04-26 13:00:00.00",0,467.89
12,"TSR1","2016-04-26 13:00:00.00",0,470.05
1,"TSR1","2016-04-28 10:30:00.00",1.89583333333333,488.64
2,"TSR1","2016-04-28 10:30:00.00",1.89583333333333,485.23
3,"TSR1","2016-04-28 10:30:00.00",1.89583333333333,474.72
4,"TSR1","2016-04-28 10:30:00.00",1.89583333333333,473.83
5,"TSR1","2016-04-28 10:30:00.00",1.89583333333333,475.54
6,"TSR1","2016-04-28 10:30:00.00",1.89583333333333,473.44
7,"TSR1","2016-04-28 10:30:00.00",1.89583333333333,469.72
8,"TSR1","2016-04-28 10:30:00.00",1.89583333333333,471.3
9,"TSR1","2016-04-28 10:30:00.00",1.89583333333333,469.35
10,"TSR1","2016-04-28 10:30:00.00",1.89583333333333,471.05
11,"TSR1","2016-04-28 10:30:00.00",1.89583333333333,467.69
12,"TSR1","2016-04-28 10:30:00.00",1.89583333333333,469.87
1,"TSR1","2016-04-29 16:00:00.00",3.125,488.23
2,"TSR1","2016-04-29 16:00:00.00",3.125,484.83
3,"TSR1","2016-04-29 16:00:00.00",3.125,474.47
4,"TSR1","2016-04-29 16:00:00.00",3.125,473.56
5,"TSR1","2016-04-29 16:00:00.00",3.125,475.37
6,"TSR1","2016-04-29 16:00:00.00",3.125,473.27
7,"TSR1","2016-04-29 16:00:00.00",3.125,469.51
8,"TSR1","2016-04-29 16:00:00.00",3.125,471.13
9,"TSR1","2016-04-29 16:00:00.00",3.125,469.3
10,"TSR1","2016-04-29 16:00:00.00",3.125,471.01
11,"TSR1","2016-04-29 16:00:00.00",3.125,467.46
12,"TSR1","2016-04-29 16:00:00.00",3.125,469.76
1,"TSR1","2016-04-30 13:20:00.00",4.01388888888889,488.01
2,"TSR1","2016-04-30 13:20:00.00",4.01388888888889,484.61
3,"TSR1","2016-04-30 13:20:00.00",4.01388888888889,474.28
4,"TSR1","2016-04-30 13:20:00.00",4.01388888888889,473.37
5,"TSR1","2016-04-30 13:20:00.00",4.01388888888889,475.2
6,"TSR1","2016-04-30 13:20:00.00",4.01388888888889,473.07
7,"TSR1","2016-04-30 13:20:00.00",4.01388888888889,469.4
8,"TSR1","2016-04-30 13:20:00.00",4.01388888888889,471
11,"TSR1","2016-04-30 13:20:00.00",4.01388888888889,467.39
12,"TSR1","2016-04-30 13:20:00.00",4.01388888888889,469.6
1,"TSR1","2016-05-02 11:00:00.00",5.91666666666667,487.63
2,"TSR1","2016-05-02 11:00:00.00",5.91666666666667,484.23
3,"TSR1","2016-05-02 11:00:00.00",5.91666666666667,473.97
4,"TSR1","2016-05-02 11:00:00.00",5.91666666666667,473.07
5,"TSR1","2016-05-02 11:00:00.00",5.91666666666667,474.92
6,"TSR1","2016-05-02 11:00:00.00",5.91666666666667,472.82
7,"TSR1","2016-05-02 11:00:00.00",5.91666666666667,469.18
8,"TSR1","2016-05-02 11:00:00.00",5.91666666666667,470.71
11,"TSR1","2016-05-02 11:00:00.00",5.91666666666667,467.27
12,"TSR1","2016-05-02 11:00:00.00",5.91666666666667,469.33
1,"TSR1","2016-05-04 14:30:00.00",8.0625,487.26
2,"TSR1","2016-05-04 14:30:00.00",8.0625,483.88
3,"TSR1","2016-05-04 14:30:00.00",8.0625,473.63
4,"TSR1","2016-05-04 14:30:00.00",8.0625,472.72
5,"TSR1","2016-05-04 14:30:00.00",8.0625,474.66
6,"TSR1","2016-05-04 14:30:00.00",8.0625,472.62
7,"TSR1","2016-05-04 14:30:00.00",8.0625,469.01
8,"TSR1","2016-05-04 14:30:00.00",8.0625,470.45
9,"TSR1","2016-05-04 14:30:00.00",8.0625,469.24
10,"TSR1","2016-05-04 14:30:00.00",8.0625,470.95
11,"TSR1","2016-05-04 14:30:00.00",8.0625,467.21
12,"TSR1","2016-05-04 14:30:00.00",8.0625,469.1
1,"TSR1","2016-05-09 10:45:00.00",12.90625,486.83
2,"TSR1","2016-05-09 10:45:00.00",12.90625,483.44
3,"TSR1","2016-05-09 10:45:00.00",12.90625,473.25
4,"TSR1","2016-05-09 10:45:00.00",12.90625,472.34
5,"TSR1","2016-05-09 10:45:00.00",12.90625,474.2
6,"TSR1","2016-05-09 10:45:00.00",12.90625,472.16
7,"TSR1","2016-05-09 10:45:00.00",12.90625,468.62
8,"TSR1","2016-05-09 10:45:00.00",12.90625,470.01
12,"TSR1","2016-05-09 10:45:00.00",12.90625,468.71
1,"TSR1","2016-05-13 16:00:00.00",17.125,486.25
2,"TSR1","2016-05-13 16:00:00.00",17.125,482.89
3,"TSR1","2016-05-13 16:00:00.00",17.125,472.74
4,"TSR1","2016-05-13 16:00:00.00",17.125,471.81
5,"TSR1","2016-05-13 16:00:00.00",17.125,473.66
6,"TSR1","2016-05-13 16:00:00.00",17.125,471.58
7,"TSR1","2016-05-13 16:00:00.00",17.125,468.16
8,"TSR1","2016-05-13 16:00:00.00",17.125,469.48
9,"TSR1","2016-05-13 16:00:00.00",17.125,469.07
10,"TSR1","2016-05-13 16:00:00.00",17.125,470.77
11,"TSR1","2016-05-13 16:00:00.00",17.125,467.03
12,"TSR1","2016-05-13 16:00:00.00",17.125,468.18
